degrade_level,geom,mode,select,record_id,yaw_true,pitch_true,neural_yaw_pred,neural_yaw_err,neural_pitch_err,neural_margin,neural_entropy,pdb_top1_yaw_err,pdb_nearest_distance,pdb_margin,pdb_cand_yaw_spread
clean,G1,ocs_only,best,G1_yaw060_pitch+065,60.0,65.0,53.11,6.8897,64.9911,0.000299,4.917319,0.0,0.0,0.0,33.7231
clean,G1,ocs_only,best,G1_yaw150_pitch-075,150.0,-75.0,79.416,70.5842,76.8305,0.000327,4.917319,180.0,0.0,1e-06,85.1528
clean,G1,ocs_only,best,G1_yaw175_pitch+015,175.0,15.0,188.801,13.8015,18.2601,0.00037,4.917319,30.0,0.0,0.0,67.611
clean,G1,ocs_only,best,G1_yaw330_pitch-055,330.0,-55.0,194.008,135.9917,52.3614,6.8e-05,4.917319,70.0,0.0,0.0,45.6727
clean,G1,ocs_only,best,G1_yaw325_pitch-050,325.0,-50.0,183.386,141.6144,46.1886,0.000431,4.917319,130.0,0.0,0.0,36.5684
clean,G1,ocs_only,best,G1_yaw145_pitch-035,145.0,-35.0,160.556,15.5562,30.0193,0.000943,4.917319,0.0,0.0,0.0,52.2039
clean,G1,ocs_only,best,G1_yaw095_pitch+005,95.0,5.0,175.171,80.1712,9.455,0.000948,4.917319,75.0,0.0,0.0,61.7171
clean,G1,ocs_only,best,G1_yaw020_pitch+085,20.0,85.0,170.314,150.3136,89.7352,0.001058,4.917319,80.0,0.0,0.0,52.7731
clean,G1,ocs_only,best,G1_yaw095_pitch+050,95.0,50.0,163.971,68.9715,54.9071,0.000717,4.917319,130.0,0.0,0.0,60.4897
clean,G1,ocs_only,best,G1_yaw325_pitch+055,325.0,55.0,205.613,119.3873,56.1863,0.00064,4.917319,130.0,0.0,0.0,38.2753
clean,G1,ocs_only,best,G1_yaw145_pitch+035,145.0,35.0,176.656,31.6558,39.358,0.000412,4.917319,55.0,0.0,0.0,49.3964
clean,G1,ocs_only,best,G1_yaw285_pitch+005,285.0,5.0,291.642,6.6424,2.3005,9.7e-05,4.917319,15.0,0.0,0.0,42.0743
clean,G1,ocs_only,best,G1_yaw040_pitch-005,40.0,-5.0,66.115,26.1154,3.3581,0.000418,4.917319,150.0,0.0,0.0,65.3835
clean,G1,ocs_only,best,G1_yaw165_pitch-020,165.0,-20.0,176.534,11.534,15.6338,0.000471,4.917319,165.0,0.0,0.0,63.0555
clean,G1,ocs_only,best,G1_yaw000_pitch+040,0.0,40.0,312.464,47.5357,42.991,1.7e-05,4.917319,0.0,0.0,0.0,41.3401
clean,G1,ocs_only,best,G1_yaw240_pitch+020,240.0,20.0,58.623,178.6235,19.6864,0.000548,4.917319,175.0,0.0,0.0,83.9062
clean,G1,ocs_only,best,G1_yaw185_pitch+000,185.0,0.0,239.749,54.7486,1.1774,0.000645,4.917319,5.0,0.0,0.0,50.4579
clean,G1,ocs_only,best,G1_yaw295_pitch-050,295.0,-50.0,313.069,18.0693,46.5759,0.000277,4.917319,65.0,0.0,0.0,36.7287
clean,G1,ocs_only,best,G1_yaw130_pitch+050,130.0,50.0,232.955,102.9554,49.123,0.000222,4.917319,135.0,0.0,0.0,58.438
clean,G1,ocs_only,best,G1_yaw040_pitch-090,40.0,-90.0,66.266,26.2656,88.3389,0.000408,4.917319,0.0,0.0,0.0,76.5441
clean,G1,ocs_only,best,G1_yaw035_pitch+005,35.0,5.0,72.753,37.7531,7.6708,8.3e-05,4.917319,45.0,0.0,0.0,64.7476
clean,G1,ocs_only,best,G1_yaw095_pitch+040,95.0,40.0,138.723,43.7234,45.0647,0.000597,4.917319,70.0,0.0,0.0,45.4313
clean,G1,ocs_only,best,G1_yaw320_pitch-055,320.0,-55.0,200.477,119.5229,53.1895,0.000337,4.917319,35.0,0.0,0.0,62.9305
clean,G1,ocs_only,best,G1_yaw200_pitch-030,200.0,-30.0,206.906,6.906,28.9629,0.00029,4.917319,35.0,0.0,0.0,67.1863
clean,G1,ocs_only,best,G1_yaw100_pitch+075,100.0,75.0,215.265,115.2646,75.1852,0.001081,4.917319,145.0,0.0,0.0,69.9303
clean,G1,ocs_only,best,G1_yaw065_pitch+075,65.0,75.0,58.493,6.5069,74.655,0.000485,4.917319,15.0,0.0,0.0,78.5191
clean,G1,ocs_only,best,G1_yaw130_pitch+055,130.0,55.0,243.128,113.128,53.6827,0.000306,4.917319,120.0,0.0,0.0,49.4975
clean,G1,ocs_only,best,G1_yaw320_pitch+075,320.0,75.0,57.767,97.7667,74.6169,0.000131,4.917319,10.0,0.0,0.0,78.3087
clean,G1,ocs_only,best,G1_yaw335_pitch-085,335.0,-85.0,66.938,91.9378,83.2424,0.000273,4.917319,105.0,0.0,0.0,59.6154
clean,G1,ocs_only,best,G1_yaw305_pitch+065,305.0,65.0,271.699,33.3007,62.6246,6.1e-05,4.917319,50.0,0.0,0.0,57.5869
clean,G1,ocs_only,best,G1_yaw310_pitch+005,310.0,5.0,177.104,132.8957,9.3281,0.000193,4.917319,5.0,0.0,0.0,59.127
clean,G1,ocs_only,best,G1_yaw350_pitch-040,350.0,-40.0,258.567,91.4331,41.9377,0.000274,4.917319,65.0,0.0,0.0,60.1269
clean,G1,ocs_only,best,G1_yaw000_pitch+030,0.0,30.0,311.634,48.366,32.4595,2e-05,4.917319,0.0,0.0,0.0,48.9413
clean,G1,ocs_only,best,G1_yaw015_pitch-030,15.0,-30.0,177.364,162.3638,25.6893,6.7e-05,4.917319,175.0,0.0,0.0,56.7803
clean,G1,ocs_only,best,G1_yaw025_pitch-065,25.0,-65.0,149.516,124.5155,59.866,0.000977,4.917319,170.0,0.0,0.0,57.4217
clean,G1,ocs_only,best,G1_yaw355_pitch-085,355.0,-85.0,206.194,148.8058,83.8811,0.000635,4.917319,125.0,0.0,0.0,64.467
clean,G1,ocs_only,best,G1_yaw270_pitch+035,270.0,35.0,183.808,86.1921,38.7716,0.000618,4.917319,60.0,0.0,0.0,60.7783
clean,G1,ocs_only,best,G1_yaw305_pitch+025,305.0,25.0,257.722,47.2782,23.0956,0.000108,4.917319,165.0,0.0,0.0,68.2642
clean,G1,ocs_only,best,G1_yaw145_pitch+000,145.0,0.0,232.265,87.2654,0.4739,0.000115,4.917319,90.0,0.0,0.0,43.6348
clean,G1,ocs_only,best,G1_yaw270_pitch-045,270.0,-45.0,223.155,46.8447,45.3972,0.00032,4.917319,80.0,0.0,0.0,67.9798
clean,G1,ocs_only,best,G1_yaw180_pitch-005,180.0,-5.0,270.946,90.9463,7.3509,7.3e-05,4.917319,170.0,0.0,0.0,64.7862
clean,G1,ocs_only,best,G1_yaw335_pitch-020,335.0,-20.0,53.382,78.3822,20.1948,0.000431,4.917319,180.0,0.0,0.0,59.7076
clean,G1,ocs_only,best,G1_yaw265_pitch-090,265.0,-90.0,253.513,11.4869,91.7353,0.000372,4.917319,140.0,0.0,0.0,61.7758
clean,G1,ocs_only,best,G1_yaw110_pitch+020,110.0,20.0,189.592,79.5925,23.1748,0.00033,4.917319,95.0,0.0,0.0,53.8888
clean,G1,ocs_only,best,G1_yaw350_pitch+070,350.0,70.0,288.396,61.6039,67.1292,0.00018,4.917319,160.0,0.0,0.0,59.716
clean,G1,ocs_only,best,G1_yaw230_pitch-065,230.0,-65.0,69.522,160.4776,63.5107,0.000493,4.917319,15.0,0.0,0.0,74.0422
clean,G1,ocs_only,best,G1_yaw115_pitch+065,115.0,65.0,313.172,161.828,68.5016,0.000327,4.917319,115.0,0.0,0.0,39.8905
clean,G1,ocs_only,best,G1_yaw010_pitch-080,10.0,-80.0,210.663,159.3373,79.3813,0.000891,4.917319,20.0,0.0,0.0,60.1997
clean,G1,ocs_only,best,G1_yaw130_pitch+030,130.0,30.0,199.138,69.1381,31.981,0.000253,4.917319,70.0,0.0,0.0,51.7107
clean,G1,ocs_only,best,G1_yaw215_pitch-045,215.0,-45.0,137.419,77.5808,39.9485,4e-05,4.917319,85.0,0.0,0.0,35.5809
clean,G1,ocs_only,best,G1_yaw120_pitch-030,120.0,-30.0,269.441,149.4412,32.3024,9.7e-05,4.917319,175.0,0.0,0.0,55.1725
clean,G1,ocs_only,best,G1_yaw005_pitch+055,5.0,55.0,267.06,97.9397,52.7727,0.000132,4.917319,175.0,0.0,0.0,50.1622
clean,G1,ocs_only,best,G1_yaw125_pitch+035,125.0,35.0,242.652,117.6518,33.7021,7.4e-05,4.917319,180.0,0.0,0.0,67.4166
clean,G1,ocs_only,best,G1_yaw260_pitch+035,260.0,35.0,114.344,145.6559,39.6193,0.000895,4.917319,0.0,0.0,0.0,60.6403
clean,G1,ocs_only,best,G1_yaw200_pitch+010,200.0,10.0,202.678,2.6779,11.5367,8.7e-05,4.917319,175.0,0.0,0.0,55.3737
clean,G1,ocs_only,best,G1_yaw275_pitch+020,275.0,20.0,257.812,17.1883,18.0921,0.000151,4.917319,75.0,0.0,0.0,61.5812
clean,G1,ocs_only,best,G1_yaw180_pitch-070,180.0,-70.0,233.923,53.9225,70.921,0.000692,4.917319,15.0,0.0,0.0,59.8832
clean,G1,ocs_only,best,G1_yaw055_pitch+070,55.0,70.0,53.196,1.804,69.9316,0.00034,4.917319,0.0,0.0,0.0,29.2617
clean,G1,ocs_only,best,G1_yaw065_pitch-075,65.0,-75.0,57.443,7.557,75.6245,2.8e-05,4.917319,175.0,0.0,0.0,69.5054
clean,G1,ocs_only,best,G1_yaw010_pitch-045,10.0,-45.0,244.28,125.7198,46.3643,0.000554,4.917319,60.0,0.0,0.0,60.1997
clean,G1,ocs_only,best,G1_yaw270_pitch+070,270.0,70.0,185.708,84.2922,73.5805,0.000527,4.917319,50.0,0.0,0.0,58.3717
clean,G1,ocs_only,best,G1_yaw325_pitch+090,325.0,90.0,75.977,110.9775,91.3665,0.000552,4.917319,80.0,0.0,0.0,50.9926
clean,G1,ocs_only,best,G1_yaw150_pitch+055,150.0,55.0,198.259,48.2588,57.0944,0.000197,4.917319,20.0,0.0,0.0,65.9924
clean,G1,ocs_only,best,G1_yaw205_pitch+045,205.0,45.0,190.773,14.2274,48.04,0.000264,4.917319,65.0,0.0,0.0,68.3374
clean,G1,ocs_only,best,G1_yaw130_pitch-060,130.0,-60.0,218.234,88.2335,60.0743,0.000359,4.917319,180.0,0.0,0.0,65.9621
clean,G1,ocs_only,best,G1_yaw280_pitch+055,280.0,55.0,219.307,60.6927,54.8388,0.000878,4.917319,5.0,0.0,0.0,54.8999
clean,G1,ocs_only,best,G1_yaw175_pitch-035,175.0,-35.0,227.737,52.7368,35.6303,0.000116,4.917319,170.0,0.0,0.0,60.9118
clean,G1,ocs_only,best,G1_yaw105_pitch+075,105.0,75.0,240.91,135.9099,73.7738,0.00062,4.917319,0.0,0.0,0.0,61.6117
clean,G1,ocs_only,best,G1_yaw340_pitch+075,340.0,75.0,90.227,110.2272,76.2863,0.000592,4.917319,90.0,0.0,0.0,66.2967
clean,G1,ocs_only,best,G1_yaw305_pitch+010,305.0,10.0,214.648,90.3522,10.2418,0.00104,4.917319,130.0,0.0,0.0,56.7803
clean,G1,ocs_only,best,G1_yaw240_pitch-015,240.0,-15.0,61.938,178.0624,14.9279,0.000275,4.917319,170.0,0.0,0.0,56.8859
clean,G1,ocs_only,best,G1_yaw220_pitch-030,220.0,-30.0,96.288,123.7125,25.845,0.00059,4.917319,115.0,0.0,0.0,36.6197
clean,G1,ocs_only,best,G1_yaw165_pitch+060,165.0,60.0,224.316,59.316,59.542,0.000882,4.917319,55.0,0.0,0.0,49.5379
clean,G1,ocs_only,best,G1_yaw040_pitch-065,40.0,-65.0,65.972,25.9719,63.3764,0.000427,4.917319,0.0,0.0,0.0,72.7479
clean,G1,ocs_only,best,G1_yaw305_pitch+015,305.0,15.0,223.598,81.4023,14.5795,0.000536,4.917319,40.0,0.0,0.0,66.7252
clean,G1,ocs_only,best,G1_yaw335_pitch-050,335.0,-50.0,196.327,138.6726,47.6589,7.7e-05,4.917319,5.0,0.0,0.0,57.0285
clean,G1,ocs_only,best,G1_yaw330_pitch-090,330.0,-90.0,235.602,94.3976,89.3359,0.000891,4.917319,180.0,0.0,0.0,53.9815
clean,G1,ocs_only,best,G1_yaw275_pitch-015,275.0,-15.0,197.253,77.7473,12.7759,0.00012,4.917319,15.0,0.0,0.0,50.8822
clean,G1,ocs_only,best,G1_yaw045_pitch-050,45.0,-50.0,81.151,36.1512,48.6772,0.000573,4.917319,0.0,0.0,0.0,36.1559
clean,G1,ocs_only,best,G1_yaw105_pitch-085,105.0,-85.0,189.912,84.9121,81.8598,0.000313,4.917319,135.0,0.0,0.0,53.1131
clean,G1,ocs_only,best,G1_yaw300_pitch+070,300.0,70.0,281.474,18.5259,67.292,0.000101,4.917319,55.0,0.0,0.0,58.4572
clean,G1,ocs_only,best,G1_yaw290_pitch+005,290.0,5.0,280.534,9.4664,2.3161,9e-05,4.917319,75.0,0.0,0.0,56.116
clean,G1,ocs_only,best,G1_yaw355_pitch+045,355.0,45.0,307.484,47.516,45.5609,8e-06,4.917319,0.0,0.0,0.0,63.8377
clean,G1,ocs_only,best,G1_yaw085_pitch+000,85.0,0.0,99.433,14.4326,4.2479,0.000849,4.917319,80.0,0.0,0.0,59.6678
clean,G1,ocs_only,best,G1_yaw090_pitch+015,90.0,15.0,126.909,36.9092,19.8766,0.000289,4.917319,170.0,0.0,0.0,50.3711
clean,G1,ocs_only,best,G1_yaw155_pitch-035,155.0,-35.0,165.759,10.7588,30.1342,0.000846,4.917319,10.0,0.0,0.0,59.2959
clean,G1,ocs_only,best,G1_yaw000_pitch-035,0.0,-35.0,310.225,49.7746,33.2982,0.00039,4.917319,115.0,0.0,0.0,48.3632
clean,G1,ocs_only,best,G1_yaw215_pitch-075,215.0,-75.0,152.071,62.9294,69.87,0.00021,4.917319,125.0,0.0,0.0,58.7026
clean,G1,ocs_only,best,G1_yaw090_pitch+085,90.0,85.0,169.9,79.9,89.7552,0.00109,4.917319,145.0,0.0,0.0,54.7357
clean,G1,ocs_only,best,G1_yaw285_pitch-035,285.0,-35.0,301.841,16.8408,36.0245,0.000322,4.917319,70.0,0.0,0.0,52.3569
clean,G1,ocs_only,best,G1_yaw135_pitch-010,135.0,-10.0,158.27,23.2703,4.9789,0.000377,4.917319,110.0,0.0,0.0,56.4026
clean,G1,ocs_only,best,G1_yaw140_pitch-015,140.0,-15.0,131.986,8.0135,10.0332,0.000251,4.917319,5.0,0.0,0.0,44.5786
clean,G1,ocs_only,best,G1_yaw270_pitch+000,270.0,0.0,211.434,58.5655,0.5429,0.00052,4.917319,170.0,0.0,0.0,59.1523
clean,G1,ocs_only,best,G1_yaw245_pitch+065,245.0,65.0,233.691,11.3095,65.9983,0.000579,4.917319,15.0,0.0,0.0,35.8085
clean,G1,ocs_only,best,G1_yaw270_pitch-050,270.0,-50.0,236.773,33.2271,51.0481,0.000355,4.917319,70.0,0.0,0.0,57.1161
clean,G1,ocs_only,best,G1_yaw180_pitch-090,180.0,-90.0,252.554,72.5537,91.6968,2.6e-05,4.917319,120.0,0.0,0.0,74.4799
clean,G1,ocs_only,best,G1_yaw085_pitch-025,85.0,-25.0,87.117,2.1168,21.2418,0.000187,4.917319,170.0,0.0,0.0,73.9679
clean,G1,ocs_only,best,G1_yaw355_pitch-045,355.0,-45.0,298.317,56.6833,46.7465,0.000366,4.917319,120.0,0.0,0.0,72.092
clean,G1,ocs_only,best,G1_yaw000_pitch+045,0.0,45.0,313.615,46.385,48.8512,0.000542,4.917319,0.0,0.0,0.0,36.4314
clean,G1,ocs_only,best,G1_yaw050_pitch-055,50.0,-55.0,58.362,8.3622,55.3776,0.000421,4.917319,15.0,0.0,0.0,77.6853
clean,G1,ocs_only,best,G1_yaw120_pitch+070,120.0,70.0,284.452,164.4517,67.2125,0.000141,4.917319,0.0,0.0,0.0,68.5584
clean,G1,ocs_only,best,G1_yaw210_pitch+080,210.0,80.0,182.971,27.0293,83.8505,0.00023,4.917319,55.0,0.0,0.0,49.196
clean,G1,ocs_only,best,G1_yaw050_pitch-005,50.0,-5.0,59.145,9.1448,5.2017,0.0008,4.917319,170.0,0.0,0.0,83.7257
clean,G1,ocs_only,best,G1_yaw070_pitch-085,70.0,-85.0,122.696,52.6964,83.7564,9.6e-05,4.917319,105.0,0.0,0.0,55.2291
clean,G1,ocs_only,best,G1_yaw170_pitch-065,170.0,-65.0,195.81,25.81,62.593,4.5e-05,4.917319,40.0,0.0,0.0,63.3561
clean,G1,ocs_only,best,G1_yaw200_pitch+000,200.0,0.0,213.584,13.5836,0.3402,0.000529,4.917319,35.0,0.0,0.0,48.3761
clean,G1,ocs_only,best,G1_yaw180_pitch-040,180.0,-40.0,278.044,98.0443,42.5925,4.5e-05,4.917319,55.0,0.0,0.0,59.1185
clean,G1,ocs_only,best,G1_yaw150_pitch+010,150.0,10.0,82.284,67.7161,8.1577,0.000105,4.917319,5.0,1e-06,3e-06,86.3771
clean,G1,ocs_only,best,G1_yaw330_pitch+055,330.0,55.0,200.918,129.0824,56.7549,0.000364,4.917319,125.0,0.0,0.0,63.2535
clean,G1,ocs_only,best,G1_yaw150_pitch+085,150.0,85.0,67.712,82.2883,86.8966,0.000103,4.917319,75.0,0.0,0.0,52.0
clean,G1,ocs_only,best,G1_yaw100_pitch+045,100.0,45.0,188.116,88.1156,48.3328,0.000299,4.917319,125.0,0.0,0.0,63.5531
clean,G1,ocs_only,best,G1_yaw090_pitch+025,90.0,25.0,109.509,19.5091,29.5071,0.000972,4.917319,65.0,0.0,0.0,47.4763
clean,G1,ocs_only,best,G1_yaw065_pitch+070,65.0,70.0,58.614,6.3864,69.6841,0.000543,4.917319,0.0,0.0,0.0,86.0174
