category,path,status,note
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G1_image_only_seed42/metrics_test_best.json,OK,degraded-mild G1 image_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G1_joint_seed42/metrics_test_best.json,OK,degraded-mild G1 joint
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G3_ocs_only_seed42/metrics_test_best.json,OK,degraded-mild G3 ocs_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G3_image_only_seed42/metrics_test_best.json,MISSING,degraded-mild G3 image_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G3_joint_seed42/metrics_test_best.json,MISSING,degraded-mild G3 joint
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G5_ocs_only_seed42/metrics_test_best.json,OK,degraded-mild G5 ocs_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G5_image_only_seed42/metrics_test_best.json,OK,degraded-mild G5 image_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G5_joint_seed42/metrics_test_best.json,OK,degraded-mild G5 joint
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G1_ocs_only_seed42/metrics_test_best.json,OK,degraded-moderate G1 ocs_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G1_image_only_seed42/metrics_test_best.json,OK,degraded-moderate G1 image_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G1_joint_seed42/metrics_test_best.json,OK,degraded-moderate G1 joint
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G3_ocs_only_seed42/metrics_test_best.json,OK,degraded-moderate G3 ocs_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G3_image_only_seed42/metrics_test_best.json,MISSING,degraded-moderate G3 image_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G3_joint_seed42/metrics_test_best.json,MISSING,degraded-moderate G3 joint
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G5_ocs_only_seed42/metrics_test_best.json,OK,degraded-moderate G5 ocs_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G5_image_only_seed42/metrics_test_best.json,OK,degraded-moderate G5 image_only
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-moderate_P-INT_G5_joint_seed42/metrics_test_best.json,OK,degraded-moderate G5 joint
mroll_subset_render,v0.4_results/12_l1m3_degraded_mroll/mroll/postprocess/phase63/roll+015/fullrun_postprocess_summary.json,OK,phase63 roll+015 312子集 postprocess
mroll_subset_render,v0.4_results/12_l1m3_degraded_mroll/mroll/postprocess/phase63/roll-015/fullrun_postprocess_summary.json,OK,phase63 roll-015 312子集 postprocess
mroll_subset_render,v0.4_results/12_l1m3_degraded_mroll/mroll/postprocess/phase63/roll+030/fullrun_postprocess_summary.json,OK,phase63 roll+030 312子集 postprocess
mroll_subset_render,v0.4_results/12_l1m3_degraded_mroll/mroll/postprocess/phase63/roll-030/fullrun_postprocess_summary.json,OK,phase63 roll-030 312子集 postprocess
mroll_subset_list,v0.4_results/12_l1m3_degraded_mroll/mroll/mroll_subset_attitudes.json,OK,312 分层子集姿态
mroll_eval,v0.4_results/12_l1m3_degraded_mroll/mroll/mroll_eval_results.json,OK,R117 312子集 eval
conformal_summary,v0.4_results/13_l1d3_confidence_pdb/conformal/l1d3_conformal_summary.csv,OK,已含 alpha=0.05/0.10/0.20 三档 coverage/set_size
conformal_per_sample,v0.4_results/13_l1d3_confidence_pdb/conformal/l1d3_conformal_per_sample.csv,OK,α=0.10 per-sample
hardcase_index,v0.4_results/13_l1d3_confidence_pdb/hardcases/l1d3_hardcase_index.csv,OK,ocs/image/disagreement/ambiguous/robust 五类候选
phase63_ocs_source,v0.4_results/01_fullrun/postprocess/ocs_manifest_v0_4_fullrun.json,OK,phase63 OCS 全2664
phase63_png_clean,v0.4_results/01_fullrun/postprocess/*_roll+000_brdf.png,OK,clean roll=0 图像 2664 张
multigeom_ocs_source,v0.4_results/11_l1m2_multigeometry_ocs/postprocess/phase24/fullrun_postprocess_summary.json,OK,phase24 OCS 源（G3/G5 用）
multigeom_ocs_source,v0.4_results/11_l1m2_multigeometry_ocs/postprocess/phase45/fullrun_postprocess_summary.json,OK,phase45 OCS 源（G3/G5 用）
multigeom_ocs_source,v0.4_results/11_l1m2_multigeometry_ocs/postprocess/phase90/fullrun_postprocess_summary.json,OK,phase90 OCS 源（G3/G5 用）
multigeom_ocs_source,v0.4_results/11_l1m2_multigeometry_ocs/postprocess/phase120/fullrun_postprocess_summary.json,OK,phase120 OCS 源（G3/G5 用）
